Bin Id	Bin size (Mbp)	sorted_alignment: mapped reads	sorted_alignment: % mapped reads	sorted_alignment: % binned populations	sorted_alignment: % community
115	3.960733	272024	0.20682134544939967	0.803313686912664	0.19277577559677503
129_sub	1.697467	61124	0.04647291385778133	0.4211763125537014	0.1010720863322683
130	5.531162	242225	0.18416500162294813	0.5122194871757328	0.12292023716859642
17	3.41741	123142	0.09362554083952143	0.42146607997157487	0.10114162347527145
33	5.533172	935378	0.7111730452598616	1.9772723419931353	0.4744973420765569
5	1.074585	36362	0.027646228874037112	0.3957860650921809	0.09497904356861275
51_sub	3.57235	194829	0.1481295617760238	0.6379007462301156	0.15308068704877123
53	3.69385	172000	0.13077254733882582	0.5446314324154318	0.13069831687018435
58_sub	4.367051	171105	0.13009207390935923	0.4582768800548219	0.10997532150879852
61	1.720129	139399	0.10598582747956382	0.9478773625884584	0.22746754688804616
62_sub	2.804006	7298262	5.548908795849729	30.443460874505686	7.305691260518705
77	3.702498	340873	0.2591676193548114	1.0768402524651717	0.2584155084679511
7_sub	4.037815	268595	0.20421425786320882	0.7780455403625196	0.18671203408650913
86_sub	3.200932	179550	0.13651285392259405	0.6560885706818252	0.15744532320799243
89	6.945783	283918	0.21586441915898108	0.47810713734700055	0.11473410166163682
CL001_sub	6.397515	1128502	0.8580062861451139	2.0632152121948013	0.495121543717902
CL003_sub	5.15043	1293697	0.9836049545034704	2.9379377731239105	0.7050337148439483
CL007	4.549267	485652	0.3692438904662525	1.2486400646737672	0.2996432910707551
CL010	4.28232	347747	0.2643939594153178	0.9498122921983926	0.2279318830027634
CL013_sub	3.7584	434341	0.3302318545563543	1.3517031890749378	0.3243759379377848
CL015_sub	3.729882	967229	0.7353895359882857	3.033106974872493	0.7278720119860255
CL017_sub	3.658116	226776	0.17241904183319512	0.7250920252703293	0.17400447649253237
CL020_sub	3.584228	370281	0.2815266837277195	1.208340440668176	0.2899723600253827
CL021_sub	3.574675	249190	0.1894605294846628	0.8153565380809009	0.19566576740467734
CL025_sub	3.42283	201986	0.15357106829523295	0.6902230364785374	0.1656367660101592
CL026_sub	3.416723	800968	0.6089803819586315	2.7419460498776465	0.6580004611164356
CL028_sub	3.332489	218912	0.16643999931998274	0.7683416132590322	0.18438332725107745
CL031_sub	2.983055	522436	0.3972109682645744	2.0484498963033007	0.4915782264941474
CL037	2.377774	134420	0.10220026635630793	0.6612212893506875	0.1586770510354028
algae.009	4.57871	5024679	3.8202911185459527	12.835674506760725	3.0802501546541783
algae.010_sub	5.480637	2515317	1.912409368922403	5.368033267953948	1.2881976163461277
algae.012	2.994106	834675	0.6346079997095024	3.2606467063157547	0.7824760215064378
algae.016	4.58157	1020352	0.7757792454782882	2.604888897280807	0.6251100730608243
algae.050_sub	1.367678	59285	0.04507471202896678	0.5070076054543902	0.12166951213114324
algae.18	3.197581	1047888	0.7967150179406249	3.833070642693634	0.9198438643593405
algae.29	3.359388	353893	0.26906679706615744	1.2321549236100509	0.29568725757331304
algae.32	2.077271	87605	0.06660656400940601	0.4932751607553388	0.11837405890928464
algae.33	3.430496	233673	0.17766286892038047	0.7967189150413154	0.19119319050816663
algae.37_sub	3.585721	425819	0.32375253101902013	1.3889993802965512	0.333326118056319
algae.43	3.390733	314542	0.23914801502935434	1.0850220443789125	0.26037893982439236
algae.45	3.648007	327163	0.24874383084309454	1.0489674930696662	0.25172672313038086
algae.51_sub	4.947225	229486	0.1744794697592894	0.5425603399705217	0.13020130498192112
algae.55	3.217024	681056	0.517810627909252	2.4761789846787328	0.5942228198830312
algae.57	4.907833	306708	0.2331917816813755	0.7309519659627044	0.17541071994428437
unbinned	394.635793	99963012	76.00242859826518	NA	76.00242859826518
